--------------------Report--------------------
[0]  master A: 2  master B: 2  master ALUControl: 0  master result: 2  slave result: 2      correct? 1
[123]  master A: 230  master B: 327  master ALUControl: 3  master result: 4294967199  slave result: 557      correct? 0
[124]  master A: 232  master B: 330  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[125]  master A: 234  master B: 333  master ALUControl: 5  master result: 4294966800  slave result: 4294966800      correct? 1
[126]  master A: 236  master B: 336  master ALUControl: 6  master result: 4294966800  slave result: 4294966800      correct? 1
[127]  master A: 238  master B: 339  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[128]  master A: 240  master B: 342  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[129]  master A: 242  master B: 345  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[130]  master A: 244  master B: 348  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[131]  master A: 246  master B: 351  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[132]  master A: 248  master B: 354  master ALUControl: 12  master result: 410  slave result: 410      correct? 1
[133]  master A: 250  master B: 357  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[134]  master A: 252  master B: 360  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[135]  master A: 254  master B: 363  master ALUControl: 0  master result: 106  slave result: 106      correct? 1
[136]  master A: 256  master B: 366  master ALUControl: 1  master result: 110  slave result: 110      correct? 1
[137]  master A: 258  master B: 369  master ALUControl: 2  master result: 4294967185  slave result: 4294967185      correct? 1
[138]  master A: 260  master B: 372  master ALUControl: 3  master result: 4294967184  slave result: 632      correct? 0
[139]  master A: 262  master B: 375  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[140]  master A: 264  master B: 378  master ALUControl: 5  master result: 4294966917  slave result: 4294966917      correct? 1
[141]  master A: 266  master B: 381  master ALUControl: 6  master result: 4294966917  slave result: 4294966917      correct? 1
[142]  master A: 268  master B: 384  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[143]  master A: 270  master B: 387  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[144]  master A: 272  master B: 390  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[145]  master A: 274  master B: 393  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[146]  master A: 276  master B: 396  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[147]  master A: 278  master B: 399  master ALUControl: 12  master result: 153  slave result: 153      correct? 1
[148]  master A: 280  master B: 402  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[149]  master A: 282  master B: 405  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[150]  master A: 284  master B: 408  master ALUControl: 0  master result: 280  slave result: 280      correct? 1
[151]  master A: 286  master B: 411  master ALUControl: 1  master result: 133  slave result: 133      correct? 1
[152]  master A: 288  master B: 414  master ALUControl: 2  master result: 4294967170  slave result: 4294967170      correct? 1
[153]  master A: 290  master B: 417  master ALUControl: 3  master result: 4294967169  slave result: 707      correct? 0
[154]  master A: 292  master B: 420  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[155]  master A: 294  master B: 423  master ALUControl: 5  master result: 4294966872  slave result: 4294966872      correct? 1
[156]  master A: 296  master B: 426  master ALUControl: 6  master result: 4294966872  slave result: 4294966872      correct? 1
[157]  master A: 298  master B: 429  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[158]  master A: 300  master B: 432  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[159]  master A: 302  master B: 435  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[160]  master A: 304  master B: 438  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[161]  master A: 306  master B: 441  master ALUControl: 11  master result: 39168  slave result: 39168      correct? 1
[162]  master A: 308  master B: 444  master ALUControl: 12  master result: 136  slave result: 136      correct? 1
[163]  master A: 310  master B: 447  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[164]  master A: 312  master B: 450  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[165]  master A: 314  master B: 453  master ALUControl: 0  master result: 256  slave result: 256      correct? 1
[166]  master A: 316  master B: 456  master ALUControl: 1  master result: 244  slave result: 244      correct? 1
[167]  master A: 318  master B: 459  master ALUControl: 2  master result: 4294967155  slave result: 4294967155      correct? 1
[168]  master A: 320  master B: 462  master ALUControl: 3  master result: 4294967154  slave result: 782      correct? 0
[169]  master A: 322  master B: 465  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[170]  master A: 324  master B: 468  master ALUControl: 5  master result: 4294966827  slave result: 4294966827      correct? 1
[171]  master A: 326  master B: 471  master ALUControl: 6  master result: 4294966827  slave result: 4294966827      correct? 1
[172]  master A: 328  master B: 474  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[173]  master A: 330  master B: 477  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[174]  master A: 332  master B: 480  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[175]  master A: 334  master B: 483  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[176]  master A: 336  master B: 486  master ALUControl: 11  master result: 1073741829  slave result: 1073741829      correct? 1
[177]  master A: 338  master B: 489  master ALUControl: 12  master result: 187  slave result: 187      correct? 1
[178]  master A: 340  master B: 492  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[179]  master A: 342  master B: 495  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[180]  master A: 344  master B: 498  master ALUControl: 0  master result: 336  slave result: 336      correct? 1
[181]  master A: 346  master B: 501  master ALUControl: 1  master result: 175  slave result: 175      correct? 1
[182]  master A: 348  master B: 504  master ALUControl: 2  master result: 4294967140  slave result: 4294967140      correct? 1
[183]  master A: 350  master B: 507  master ALUControl: 3  master result: 4294967139  slave result: 857      correct? 0
[184]  master A: 352  master B: 510  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[185]  master A: 354  master B: 513  master ALUControl: 5  master result: 4294966428  slave result: 4294966428      correct? 1
[186]  master A: 356  master B: 516  master ALUControl: 6  master result: 4294966428  slave result: 4294966428      correct? 1
[187]  master A: 358  master B: 519  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[188]  master A: 360  master B: 522  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[189]  master A: 362  master B: 525  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[190]  master A: 364  master B: 528  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[191]  master A: 366  master B: 531  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[192]  master A: 368  master B: 534  master ALUControl: 12  master result: 870  slave result: 870      correct? 1
[193]  master A: 370  master B: 537  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[194]  master A: 372  master B: 540  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[195]  master A: 374  master B: 543  master ALUControl: 0  master result: 22  slave result: 22      correct? 1
[196]  master A: 376  master B: 546  master ALUControl: 1  master result: 858  slave result: 858      correct? 1
[197]  master A: 378  master B: 549  master ALUControl: 2  master result: 4294967125  slave result: 4294967125      correct? 1
[198]  master A: 380  master B: 552  master ALUControl: 3  master result: 4294967124  slave result: 932      correct? 0
[199]  master A: 382  master B: 555  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[200]  master A: 384  master B: 558  master ALUControl: 5  master result: 4294966353  slave result: 4294966353      correct? 1
[201]  master A: 386  master B: 561  master ALUControl: 6  master result: 4294966353  slave result: 4294966353      correct? 1
[202]  master A: 388  master B: 564  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[203]  master A: 390  master B: 567  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[204]  master A: 392  master B: 570  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[205]  master A: 394  master B: 573  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[206]  master A: 396  master B: 576  master ALUControl: 11  master result: 396  slave result: 396      correct? 1
[207]  master A: 398  master B: 579  master ALUControl: 12  master result: 973  slave result: 973      correct? 1
[208]  master A: 400  master B: 582  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[209]  master A: 402  master B: 585  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[210]  master A: 404  master B: 588  master ALUControl: 0  master result: 4  slave result: 4      correct? 1
[211]  master A: 406  master B: 591  master ALUControl: 1  master result: 985  slave result: 985      correct? 1
[212]  master A: 408  master B: 594  master ALUControl: 2  master result: 4294967110  slave result: 4294967110      correct? 1
[213]  master A: 410  master B: 597  master ALUControl: 3  master result: 4294967109  slave result: 1007      correct? 0
[214]  master A: 412  master B: 600  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[215]  master A: 414  master B: 603  master ALUControl: 5  master result: 4294966304  slave result: 4294966304      correct? 1
[216]  master A: 416  master B: 606  master ALUControl: 6  master result: 4294966304  slave result: 4294966304      correct? 1
[217]  master A: 418  master B: 609  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[218]  master A: 420  master B: 612  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[219]  master A: 422  master B: 615  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[220]  master A: 424  master B: 618  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[221]  master A: 426  master B: 621  master ALUControl: 11  master result: 223346688  slave result: 223346688      correct? 1
[222]  master A: 428  master B: 624  master ALUControl: 12  master result: 988  slave result: 988      correct? 1
[223]  master A: 430  master B: 627  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[224]  master A: 432  master B: 630  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[225]  master A: 434  master B: 633  master ALUControl: 0  master result: 48  slave result: 48      correct? 1
[226]  master A: 436  master B: 636  master ALUControl: 1  master result: 968  slave result: 968      correct? 1
[227]  master A: 438  master B: 639  master ALUControl: 2  master result: 4294967095  slave result: 4294967095      correct? 1
[228]  master A: 440  master B: 642  master ALUControl: 3  master result: 4294967094  slave result: 1082      correct? 0
[229]  master A: 442  master B: 645  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[230]  master A: 444  master B: 648  master ALUControl: 5  master result: 4294966339  slave result: 4294966339      correct? 1
[231]  master A: 446  master B: 651  master ALUControl: 6  master result: 4294966339  slave result: 4294966339      correct? 1
[232]  master A: 448  master B: 654  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[233]  master A: 450  master B: 657  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[234]  master A: 452  master B: 660  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[235]  master A: 454  master B: 663  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[236]  master A: 456  master B: 666  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[237]  master A: 458  master B: 669  master ALUControl: 12  master result: 855  slave result: 855      correct? 1
[238]  master A: 460  master B: 672  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[239]  master A: 462  master B: 675  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[240]  master A: 464  master B: 678  master ALUControl: 0  master result: 128  slave result: 128      correct? 1
[241]  master A: 466  master B: 681  master ALUControl: 1  master result: 891  slave result: 891      correct? 1
[242]  master A: 468  master B: 684  master ALUControl: 2  master result: 4294967080  slave result: 4294967080      correct? 1
[243]  master A: 470  master B: 687  master ALUControl: 3  master result: 4294967079  slave result: 1157      correct? 0
[244]  master A: 472  master B: 690  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[245]  master A: 474  master B: 693  master ALUControl: 5  master result: 4294966272  slave result: 4294966272      correct? 1
[246]  master A: 476  master B: 696  master ALUControl: 6  master result: 4294966272  slave result: 4294966272      correct? 1
[247]  master A: 478  master B: 699  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[248]  master A: 480  master B: 702  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[249]  master A: 482  master B: 705  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[250]  master A: 484  master B: 708  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[251]  master A: 486  master B: 711  master ALUControl: 11  master result: 3  slave result: 3      correct? 1
[252]  master A: 488  master B: 714  master ALUControl: 12  master result: 802  slave result: 802      correct? 1
[253]  master A: 490  master B: 717  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[254]  master A: 492  master B: 720  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[255]  master A: 494  master B: 723  master ALUControl: 0  master result: 194  slave result: 194      correct? 1
[256]  master A: 496  master B: 726  master ALUControl: 1  master result: 806  slave result: 806      correct? 1
[257]  master A: 498  master B: 729  master ALUControl: 2  master result: 4294967065  slave result: 4294967065      correct? 1
[258]  master A: 500  master B: 732  master ALUControl: 3  master result: 4294967064  slave result: 1232      correct? 0
[259]  master A: 502  master B: 735  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[260]  master A: 504  master B: 738  master ALUControl: 5  master result: 4294966277  slave result: 4294966277      correct? 1
[261]  master A: 506  master B: 741  master ALUControl: 6  master result: 4294966277  slave result: 4294966277      correct? 1
[262]  master A: 508  master B: 744  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[263]  master A: 510  master B: 747  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[264]  master A: 512  master B: 750  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[265]  master A: 514  master B: 753  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[266]  master A: 516  master B: 756  master ALUControl: 11  master result: 2113536  slave result: 2113536      correct? 1
[267]  master A: 518  master B: 759  master ALUControl: 12  master result: 241  slave result: 241      correct? 1
[268]  master A: 520  master B: 762  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[269]  master A: 522  master B: 765  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[270]  master A: 524  master B: 768  master ALUControl: 0  master result: 512  slave result: 512      correct? 1
[271]  master A: 526  master B: 771  master ALUControl: 1  master result: 269  slave result: 269      correct? 1
[272]  master A: 528  master B: 774  master ALUControl: 2  master result: 4294967050  slave result: 4294967050      correct? 1
[273]  master A: 530  master B: 777  master ALUControl: 3  master result: 4294967049  slave result: 1307      correct? 0
[274]  master A: 532  master B: 780  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[275]  master A: 534  master B: 783  master ALUControl: 5  master result: 4294966496  slave result: 4294966496      correct? 1
[276]  master A: 536  master B: 786  master ALUControl: 6  master result: 4294966496  slave result: 4294966496      correct? 1
[277]  master A: 538  master B: 789  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[278]  master A: 540  master B: 792  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[279]  master A: 542  master B: 795  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[280]  master A: 544  master B: 798  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[281]  master A: 546  master B: 801  master ALUControl: 11  master result: 273  slave result: 273      correct? 1
[282]  master A: 548  master B: 804  master ALUControl: 12  master result: 256  slave result: 256      correct? 1
[283]  master A: 550  master B: 807  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[284]  master A: 552  master B: 810  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[285]  master A: 554  master B: 813  master ALUControl: 0  master result: 552  slave result: 552      correct? 1
[286]  master A: 556  master B: 816  master ALUControl: 1  master result: 284  slave result: 284      correct? 1
[287]  master A: 558  master B: 819  master ALUControl: 2  master result: 4294967035  slave result: 4294967035      correct? 1
[288]  master A: 560  master B: 822  master ALUControl: 3  master result: 4294967034  slave result: 1382      correct? 0
[289]  master A: 562  master B: 825  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[290]  master A: 564  master B: 828  master ALUControl: 5  master result: 4294966467  slave result: 4294966467      correct? 1
[291]  master A: 566  master B: 831  master ALUControl: 6  master result: 4294966467  slave result: 4294966467      correct? 1
[292]  master A: 568  master B: 834  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[293]  master A: 570  master B: 837  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[294]  master A: 572  master B: 840  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[295]  master A: 574  master B: 843  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[296]  master A: 576  master B: 846  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[297]  master A: 578  master B: 849  master ALUControl: 12  master result: 275  slave result: 275      correct? 1
[298]  master A: 580  master B: 852  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
